Date,Price
2025-01-01,97.97
2025-01-02,99.24
2025-01-03,100.46
2025-01-04,97.4
2025-01-05,102.37
2025-01-06,98.86
2025-01-07,98.65
2025-01-08,101.44
2025-01-09,95.43
2025-01-10,101.27
2025-01-11,101.6
2025-01-12,100.21
2025-01-13,100.99
2025-01-14,98.73
2025-01-15,99.36
2025-01-16,103.2
2025-01-17,98.23
2025-01-18,99.94
2025-01-19,98.56
2025-01-20,100.65
2025-01-21,97.78
2025-01-22,99.28
2025-01-23,99.79
2025-01-24,102.29
2025-01-25,99.53
2025-01-26,101.88
2025-01-27,101.34
2025-01-28,102.69
2025-01-29,101.25
2025-01-30,97.8
2025-01-31,103.27
2025-02-01,97.62
2025-02-02,100.4
2025-02-03,101.29
2025-02-04,97.61
2025-02-05,97.52
2025-02-06,99.2
2025-02-07,100.73
2025-02-08,98.81
2025-02-09,98.56
2025-02-10,101.76
2025-02-11,100.33
2025-02-12,98.63
2025-02-13,100.38
2025-02-14,100.39
2025-02-15,100.46
2025-02-16,98.85
2025-02-17,99.12
2025-02-18,99.38
2025-02-19,95.85
2025-02-20,98.84
2025-02-21,100.73
2025-02-22,99.05
2025-02-23,102.18
2025-02-24,103.55
2025-02-25,97.19
2025-02-26,103.26
2025-02-27,101.06
2025-02-28,99.39
2025-03-01,100.75
2025-03-02,97.5
2025-03-03,99.24
2025-03-04,102.75
2025-03-05,100.12
2025-03-06,103.24
2025-03-07,97.3
2025-03-08,101.51
2025-03-09,99.3
2025-03-10,102.07
2025-03-11,102.4
2025-03-12,97.08
2025-03-13,97.0
2025-03-14,101.22
2025-03-15,99.31
2025-03-16,100.96
2025-03-17,98.99
2025-03-18,102.52
2025-03-19,100.76
2025-03-20,97.24
2025-03-21,100.77
2025-03-22,100.75
2025-03-23,99.78
2025-03-24,98.11
2025-03-25,104.72
2025-03-26,99.48
2025-03-27,101.24
2025-03-28,101.38
2025-03-29,100.73
2025-03-30,103.06
2025-03-31,95.67
2025-04-01,100.82
2025-04-02,99.38
2025-04-03,99.63
2025-04-04,99.57
2025-04-05,102.01
2025-04-06,99.82
2025-04-07,99.77
2025-04-08,100.6
2025-04-09,97.6
2025-04-10,100.03
