Date,Price
2025-01-01,98.44
2025-01-02,102.76
2025-01-03,100.43
2025-01-04,94.95
2025-01-05,99.18
2025-01-06,99.07
2025-01-07,101.39
2025-01-08,97.74
2025-01-09,101.61
2025-01-10,99.92
2025-01-11,101.64
2025-01-12,98.32
2025-01-13,101.91
2025-01-14,99.4
2025-01-15,100.12
2025-01-16,101.69
2025-01-17,98.53
2025-01-18,98.52
2025-01-19,99.18
2025-01-20,103.01
2025-01-21,102.47
2025-01-22,99.28
2025-01-23,102.56
2025-01-24,102.49
2025-01-25,103.04
2025-01-26,96.59
2025-01-27,96.83
2025-01-28,97.99
2025-01-29,100.22
2025-01-30,97.64
2025-01-31,98.99
2025-02-01,101.03
2025-02-02,100.92
2025-02-03,100.2
2025-02-04,97.24
2025-02-05,100.64
2025-02-06,101.06
2025-02-07,98.87
2025-02-08,102.64
2025-02-09,101.23
2025-02-10,105.67
2025-02-11,101.28
2025-02-12,100.89
2025-02-13,101.69
2025-02-14,97.34
2025-02-15,101.31
2025-02-16,98.71
2025-02-17,98.52
2025-02-18,103.0
2025-02-19,96.52
2025-02-20,97.49
2025-02-21,99.0
2025-02-22,99.85
2025-02-23,101.94
2025-02-24,99.37
2025-02-25,99.95
2025-02-26,100.25
2025-02-27,99.79
2025-02-28,100.5
2025-03-01,100.29
2025-03-02,98.2
2025-03-03,98.39
2025-03-04,98.95
2025-03-05,102.19
2025-03-06,101.09
2025-03-07,103.74
2025-03-08,100.35
2025-03-09,98.86
2025-03-10,94.85
2025-03-11,101.62
2025-03-12,99.95
2025-03-13,95.37
2025-03-14,101.5
2025-03-15,100.2
2025-03-16,100.57
2025-03-17,96.59
2025-03-18,96.01
2025-03-19,103.25
2025-03-20,99.96
2025-03-21,103.91
2025-03-22,103.7
2025-03-23,99.78
2025-03-24,100.7
2025-03-25,101.37
2025-03-26,100.14
2025-03-27,99.28
2025-03-28,98.92
2025-03-29,101.61
2025-03-30,100.4
2025-03-31,100.93
2025-04-01,101.08
2025-04-02,99.13
2025-04-03,99.55
2025-04-04,98.81
2025-04-05,102.43
2025-04-06,95.97
2025-04-07,101.98
2025-04-08,101.14
2025-04-09,100.15
2025-04-10,96.47
