Date,Price
2025-01-01,105.54
2025-01-02,98.54
2025-01-03,97.77
2025-01-04,106.13
2025-01-05,98.31
2025-01-06,100.7
2025-01-07,97.32
2025-01-08,101.97
2025-01-09,98.61
2025-01-10,101.64
2025-01-11,102.4
2025-01-12,98.01
2025-01-13,102.09
2025-01-14,98.77
2025-01-15,97.55
2025-01-16,100.35
2025-01-17,98.64
2025-01-18,103.52
2025-01-19,102.1
2025-01-20,99.46
2025-01-21,98.88
2025-01-22,101.23
2025-01-23,102.76
2025-01-24,100.84
2025-01-25,98.72
2025-01-26,99.91
2025-01-27,100.69
2025-01-28,99.93
2025-01-29,97.77
2025-01-30,98.72
2025-01-31,99.96
2025-02-01,100.68
2025-02-02,100.13
2025-02-03,96.83
2025-02-04,100.75
2025-02-05,96.27
2025-02-06,101.75
2025-02-07,103.69
2025-02-08,102.48
2025-02-09,104.74
2025-02-10,101.03
2025-02-11,101.07
2025-02-12,103.97
2025-02-13,99.12
2025-02-14,99.03
2025-02-15,98.73
2025-02-16,98.31
2025-02-17,102.68
2025-02-18,99.1
2025-02-19,102.87
2025-02-20,100.76
2025-02-21,104.12
2025-02-22,101.32
2025-02-23,99.53
2025-02-24,103.06
2025-02-25,101.24
2025-02-26,96.1
2025-02-27,97.36
2025-02-28,97.42
2025-03-01,102.01
2025-03-02,102.19
2025-03-03,100.72
2025-03-04,98.81
2025-03-05,101.98
2025-03-06,99.97
2025-03-07,99.17
2025-03-08,100.04
2025-03-09,104.06
2025-03-10,99.94
2025-03-11,97.08
2025-03-12,100.69
2025-03-13,99.35
2025-03-14,100.97
2025-03-15,100.54
2025-03-16,100.75
2025-03-17,101.98
2025-03-18,97.48
2025-03-19,99.3
2025-03-20,104.0
2025-03-21,100.23
2025-03-22,99.3
2025-03-23,96.07
2025-03-24,98.67
2025-03-25,98.41
2025-03-26,99.49
2025-03-27,98.78
2025-03-28,98.7
2025-03-29,100.14
2025-03-30,101.87
2025-03-31,96.4
2025-04-01,102.7
2025-04-02,100.71
2025-04-03,99.48
2025-04-04,100.04
2025-04-05,101.13
2025-04-06,100.76
2025-04-07,102.86
2025-04-08,98.04
2025-04-09,98.31
2025-04-10,103.45
