Date,Price
2025-01-01,104.58
2025-01-02,100.8
2025-01-03,102.94
2025-01-04,100.75
2025-01-05,98.99
2025-01-06,101.15
2025-01-07,98.62
2025-01-08,96.64
2025-01-09,95.9
2025-01-10,98.98
2025-01-11,101.26
2025-01-12,96.86
2025-01-13,98.01
2025-01-14,99.21
2025-01-15,96.96
2025-01-16,104.41
2025-01-17,98.82
2025-01-18,96.49
2025-01-19,99.44
2025-01-20,102.66
2025-01-21,97.86
2025-01-22,100.22
2025-01-23,96.21
2025-01-24,97.23
2025-01-25,95.75
2025-01-26,98.98
2025-01-27,99.79
2025-01-28,101.62
2025-01-29,102.26
2025-01-30,99.36
2025-01-31,101.27
2025-02-01,103.21
2025-02-02,100.02
2025-02-03,99.44
2025-02-04,101.15
2025-02-05,100.07
2025-02-06,100.43
2025-02-07,95.23
2025-02-08,102.33
2025-02-09,101.68
2025-02-10,98.13
2025-02-11,102.06
2025-02-12,96.82
2025-02-13,102.88
2025-02-14,101.44
2025-02-15,100.32
2025-02-16,97.62
2025-02-17,99.22
2025-02-18,101.47
2025-02-19,102.69
2025-02-20,99.46
2025-02-21,100.5
2025-02-22,98.91
2025-02-23,100.35
2025-02-24,99.47
2025-02-25,98.27
2025-02-26,99.66
2025-02-27,98.71
2025-02-28,97.21
2025-03-01,98.64
2025-03-02,101.39
2025-03-03,100.26
2025-03-04,102.61
2025-03-05,100.16
2025-03-06,101.18
2025-03-07,100.65
2025-03-08,100.02
2025-03-09,101.76
2025-03-10,99.95
2025-03-11,102.03
2025-03-12,103.02
2025-03-13,101.02
2025-03-14,95.51
2025-03-15,103.35
2025-03-16,103.07
2025-03-17,98.67
2025-03-18,100.62
2025-03-19,100.64
2025-03-20,96.99
2025-03-21,99.16
2025-03-22,97.62
2025-03-23,102.24
2025-03-24,99.18
2025-03-25,95.95
2025-03-26,99.73
2025-03-27,101.32
2025-03-28,100.86
2025-03-29,102.27
2025-03-30,100.92
2025-03-31,101.22
2025-04-01,100.94
2025-04-02,100.11
2025-04-03,96.47
2025-04-04,98.02
2025-04-05,98.43
2025-04-06,102.5
2025-04-07,100.85
2025-04-08,97.85
2025-04-09,99.13
2025-04-10,101.15
