Date,Price
2025-01-01,102.5
2025-01-02,98.99
2025-01-03,101.43
2025-01-04,95.5
2025-01-05,94.92
2025-01-06,100.1
2025-01-07,96.36
2025-01-08,93.61
2025-01-09,98.86
2025-01-10,95.8
2025-01-11,98.54
2025-01-12,97.35
2025-01-13,99.36
2025-01-14,100.18
2025-01-15,101.21
2025-01-16,95.51
2025-01-17,101.47
2025-01-18,100.42
2025-01-19,99.19
2025-01-20,102.35
2025-01-21,101.06
2025-01-22,99.47
2025-01-23,98.35
2025-01-24,103.47
2025-01-25,99.27
2025-01-26,99.14
2025-01-27,98.23
2025-01-28,100.62
2025-01-29,99.18
2025-01-30,98.26
2025-01-31,98.33
2025-02-01,101.84
2025-02-02,100.21
2025-02-03,101.58
2025-02-04,98.83
2025-02-05,102.41
2025-02-06,103.88
2025-02-07,97.58
2025-02-08,100.02
2025-02-09,99.54
2025-02-10,101.86
2025-02-11,98.84
2025-02-12,103.14
2025-02-13,100.11
2025-02-14,97.25
2025-02-15,96.02
2025-02-16,102.08
2025-02-17,97.55
2025-02-18,100.41
2025-02-19,99.39
2025-02-20,97.95
2025-02-21,100.24
2025-02-22,100.38
2025-02-23,100.98
2025-02-24,103.09
2025-02-25,99.16
2025-02-26,104.59
2025-02-27,95.73
2025-02-28,97.62
2025-03-01,97.9
2025-03-02,100.64
2025-03-03,98.42
2025-03-04,99.09
2025-03-05,97.08
2025-03-06,103.45
2025-03-07,104.51
2025-03-08,99.22
2025-03-09,99.91
2025-03-10,98.64
2025-03-11,99.17
2025-03-12,97.18
2025-03-13,100.45
2025-03-14,99.3
2025-03-15,98.2
2025-03-16,97.79
2025-03-17,96.91
2025-03-18,101.69
2025-03-19,101.2
2025-03-20,101.87
2025-03-21,100.88
2025-03-22,99.48
2025-03-23,100.65
2025-03-24,96.49
2025-03-25,102.65
2025-03-26,98.19
2025-03-27,100.7
2025-03-28,99.19
2025-03-29,99.54
2025-03-30,100.3
2025-03-31,98.25
2025-04-01,97.43
2025-04-02,97.14
2025-04-03,99.17
2025-04-04,100.3
2025-04-05,102.03
2025-04-06,100.33
2025-04-07,98.25
2025-04-08,101.92
2025-04-09,100.69
2025-04-10,100.69
