Date,Price
2025-01-01,101.05
2025-01-02,103.18
2025-01-03,103.16
2025-01-04,99.62
2025-01-05,99.34
2025-01-06,98.21
2025-01-07,103.21
2025-01-08,97.37
2025-01-09,101.48
2025-01-10,101.33
2025-01-11,99.41
2025-01-12,100.97
2025-01-13,103.73
2025-01-14,101.95
2025-01-15,100.64
2025-01-16,98.91
2025-01-17,98.69
2025-01-18,101.62
2025-01-19,100.29
2025-01-20,99.71
2025-01-21,100.84
2025-01-22,102.53
2025-01-23,100.59
2025-01-24,104.55
2025-01-25,102.0
2025-01-26,97.04
2025-01-27,99.12
2025-01-28,98.47
2025-01-29,99.15
2025-01-30,99.94
2025-01-31,99.54
2025-02-01,102.81
2025-02-02,100.74
2025-02-03,98.73
2025-02-04,100.05
2025-02-05,103.39
2025-02-06,100.13
2025-02-07,98.12
2025-02-08,97.03
2025-02-09,101.41
2025-02-10,101.48
2025-02-11,96.25
2025-02-12,101.63
2025-02-13,100.44
2025-02-14,99.86
2025-02-15,101.65
2025-02-16,98.23
2025-02-17,102.27
2025-02-18,99.04
2025-02-19,101.14
2025-02-20,102.82
2025-02-21,98.23
2025-02-22,104.79
2025-02-23,98.87
2025-02-24,97.27
2025-02-25,101.65
2025-02-26,100.55
2025-02-27,103.77
2025-02-28,98.18
2025-03-01,100.56
2025-03-02,96.16
2025-03-03,102.0
2025-03-04,101.24
2025-03-05,99.02
2025-03-06,103.5
2025-03-07,102.98
2025-03-08,102.01
2025-03-09,100.39
2025-03-10,98.8
2025-03-11,104.05
2025-03-12,99.69
2025-03-13,100.88
2025-03-14,103.62
2025-03-15,102.96
2025-03-16,99.72
2025-03-17,98.44
2025-03-18,101.09
2025-03-19,98.65
2025-03-20,103.94
2025-03-21,95.69
2025-03-22,101.82
2025-03-23,99.16
2025-03-24,99.61
2025-03-25,97.34
2025-03-26,98.98
2025-03-27,99.84
2025-03-28,99.57
2025-03-29,102.03
2025-03-30,100.69
2025-03-31,100.77
2025-04-01,95.42
2025-04-02,99.03
2025-04-03,101.58
2025-04-04,97.08
2025-04-05,97.4
2025-04-06,105.98
2025-04-07,100.79
2025-04-08,99.13
2025-04-09,102.07
2025-04-10,99.98
