Date,Price
2025-01-01,98.24
2025-01-02,97.09
2025-01-03,100.72
2025-01-04,95.64
2025-01-05,98.42
2025-01-06,102.71
2025-01-07,100.08
2025-01-08,102.76
2025-01-09,100.82
2025-01-10,99.69
2025-01-11,100.61
2025-01-12,102.14
2025-01-13,99.45
2025-01-14,97.7
2025-01-15,98.4
2025-01-16,98.99
2025-01-17,99.06
2025-01-18,104.75
2025-01-19,99.41
2025-01-20,98.92
2025-01-21,100.32
2025-01-22,98.79
2025-01-23,99.66
2025-01-24,101.29
2025-01-25,101.65
2025-01-26,98.96
2025-01-27,99.63
2025-01-28,102.68
2025-01-29,96.98
2025-01-30,99.85
2025-01-31,101.53
2025-02-01,100.9
2025-02-02,98.92
2025-02-03,101.46
2025-02-04,101.48
2025-02-05,100.77
2025-02-06,101.48
2025-02-07,102.4
2025-02-08,101.7
2025-02-09,101.06
2025-02-10,101.5
2025-02-11,99.84
2025-02-12,102.88
2025-02-13,100.79
2025-02-14,101.89
2025-02-15,99.08
2025-02-16,96.84
2025-02-17,101.91
2025-02-18,103.36
2025-02-19,100.87
2025-02-20,98.81
2025-02-21,101.77
2025-02-22,96.64
2025-02-23,100.88
2025-02-24,97.76
2025-02-25,101.53
2025-02-26,96.56
2025-02-27,101.4
2025-02-28,96.83
2025-03-01,97.73
2025-03-02,102.57
2025-03-03,95.8
2025-03-04,100.83
2025-03-05,96.82
2025-03-06,99.92
2025-03-07,99.02
2025-03-08,95.87
2025-03-09,103.3
2025-03-10,100.51
2025-03-11,101.25
2025-03-12,101.23
2025-03-13,99.7
2025-03-14,98.62
2025-03-15,98.62
2025-03-16,97.17
2025-03-17,100.08
2025-03-18,101.79
2025-03-19,96.13
2025-03-20,100.42
2025-03-21,100.36
2025-03-22,101.64
2025-03-23,101.78
2025-03-24,99.43
2025-03-25,100.5
2025-03-26,103.24
2025-03-27,99.05
2025-03-28,100.14
2025-03-29,99.14
2025-03-30,95.67
2025-03-31,97.64
2025-04-01,103.07
2025-04-02,99.9
2025-04-03,101.32
2025-04-04,97.88
2025-04-05,102.18
2025-04-06,102.26
2025-04-07,99.65
2025-04-08,100.78
2025-04-09,101.65
2025-04-10,101.44
