Date,Price
2025-01-01,99.29
2025-01-02,101.28
2025-01-03,99.2
2025-01-04,101.88
2025-01-05,98.96
2025-01-06,100.32
2025-01-07,100.38
2025-01-08,103.17
2025-01-09,99.09
2025-01-10,99.68
2025-01-11,99.73
2025-01-12,100.03
2025-01-13,96.56
2025-01-14,99.19
2025-01-15,97.39
2025-01-16,99.16
2025-01-17,99.88
2025-01-18,102.25
2025-01-19,103.82
2025-01-20,100.42
2025-01-21,99.54
2025-01-22,96.3
2025-01-23,102.35
2025-01-24,99.93
2025-01-25,102.02
2025-01-26,101.25
2025-01-27,101.95
2025-01-28,103.1
2025-01-29,100.94
2025-01-30,100.32
2025-01-31,104.07
2025-02-01,100.92
2025-02-02,98.91
2025-02-03,97.23
2025-02-04,101.95
2025-02-05,100.49
2025-02-06,103.11
2025-02-07,98.65
2025-02-08,96.75
2025-02-09,101.45
2025-02-10,98.29
2025-02-11,98.54
2025-02-12,101.37
2025-02-13,102.33
2025-02-14,101.51
2025-02-15,102.69
2025-02-16,101.59
2025-02-17,97.84
2025-02-18,100.74
2025-02-19,97.9
2025-02-20,99.38
2025-02-21,99.48
2025-02-22,97.02
2025-02-23,96.31
2025-02-24,96.57
2025-02-25,101.3
2025-02-26,100.23
2025-02-27,97.36
2025-02-28,102.68
2025-03-01,100.0
2025-03-02,97.9
2025-03-03,99.04
2025-03-04,99.58
2025-03-05,101.38
2025-03-06,103.84
2025-03-07,100.22
2025-03-08,95.37
2025-03-09,96.65
2025-03-10,100.07
2025-03-11,101.2
2025-03-12,102.14
2025-03-13,99.33
2025-03-14,99.6
2025-03-15,97.89
2025-03-16,103.62
2025-03-17,98.06
2025-03-18,105.04
2025-03-19,101.49
2025-03-20,100.0
2025-03-21,102.09
2025-03-22,100.35
2025-03-23,99.21
2025-03-24,102.51
2025-03-25,100.93
2025-03-26,97.87
2025-03-27,100.22
2025-03-28,96.1
2025-03-29,99.22
2025-03-30,95.27
2025-03-31,102.02
2025-04-01,103.09
2025-04-02,99.05
2025-04-03,100.09
2025-04-04,104.52
2025-04-05,96.4
2025-04-06,99.41
2025-04-07,101.24
2025-04-08,101.55
2025-04-09,99.41
2025-04-10,98.49
