Date,Price
2025-01-01,99.77
2025-01-02,100.92
2025-01-03,101.03
2025-01-04,102.37
2025-01-05,100.12
2025-01-06,102.17
2025-01-07,98.71
2025-01-08,100.27
2025-01-09,98.95
2025-01-10,99.66
2025-01-11,99.99
2025-01-12,97.85
2025-01-13,98.76
2025-01-14,99.84
2025-01-15,100.63
2025-01-16,99.81
2025-01-17,99.88
2025-01-18,97.26
2025-01-19,98.57
2025-01-20,100.79
2025-01-21,99.76
2025-01-22,98.74
2025-01-23,99.79
2025-01-24,95.71
2025-01-25,100.39
2025-01-26,97.55
2025-01-27,101.45
2025-01-28,99.68
2025-01-29,98.94
2025-01-30,99.46
2025-01-31,98.12
2025-02-01,101.6
2025-02-02,99.94
2025-02-03,100.6
2025-02-04,98.69
2025-02-05,102.35
2025-02-06,102.91
2025-02-07,99.94
2025-02-08,98.4
2025-02-09,101.98
2025-02-10,100.63
2025-02-11,98.67
2025-02-12,98.59
2025-02-13,103.25
2025-02-14,99.17
2025-02-15,101.14
2025-02-16,99.61
2025-02-17,95.69
2025-02-18,99.66
2025-02-19,102.62
2025-02-20,99.35
2025-02-21,102.03
2025-02-22,101.06
2025-02-23,101.64
2025-02-24,98.19
2025-02-25,100.18
2025-02-26,99.04
2025-02-27,98.0
2025-02-28,102.05
2025-03-01,99.23
2025-03-02,102.85
2025-03-03,102.69
2025-03-04,99.82
2025-03-05,101.61
2025-03-06,100.93
2025-03-07,101.58
2025-03-08,101.3
2025-03-09,98.02
2025-03-10,100.43
2025-03-11,102.75
2025-03-12,98.32
2025-03-13,102.1
2025-03-14,99.52
2025-03-15,100.7
2025-03-16,100.02
2025-03-17,99.37
2025-03-18,98.71
2025-03-19,94.91
2025-03-20,100.73
2025-03-21,98.79
2025-03-22,97.75
2025-03-23,102.63
2025-03-24,100.11
2025-03-25,102.39
2025-03-26,101.49
2025-03-27,95.86
2025-03-28,100.22
2025-03-29,101.56
2025-03-30,101.28
2025-03-31,100.99
2025-04-01,99.18
2025-04-02,100.73
2025-04-03,98.35
2025-04-04,100.54
2025-04-05,100.57
2025-04-06,102.18
2025-04-07,99.93
2025-04-08,100.99
2025-04-09,102.05
2025-04-10,99.4
