Date,Price
2025-01-01,99.07
2025-01-02,98.77
2025-01-03,99.49
2025-01-04,100.83
2025-01-05,100.62
2025-01-06,100.77
2025-01-07,100.8
2025-01-08,96.81
2025-01-09,102.72
2025-01-10,97.02
2025-01-11,99.59
2025-01-12,100.68
2025-01-13,100.61
2025-01-14,100.28
2025-01-15,100.99
2025-01-16,100.71
2025-01-17,98.08
2025-01-18,103.04
2025-01-19,100.66
2025-01-20,97.7
2025-01-21,101.28
2025-01-22,101.59
2025-01-23,99.64
2025-01-24,100.5
2025-01-25,101.1
2025-01-26,100.85
2025-01-27,100.45
2025-01-28,98.97
2025-01-29,97.98
2025-01-30,98.5
2025-01-31,98.85
2025-02-01,100.34
2025-02-02,102.89
2025-02-03,99.17
2025-02-04,100.88
2025-02-05,98.6
2025-02-06,99.96
2025-02-07,102.57
2025-02-08,100.13
2025-02-09,99.47
2025-02-10,97.64
2025-02-11,97.44
2025-02-12,97.42
2025-02-13,100.28
2025-02-14,97.93
2025-02-15,97.63
2025-02-16,100.86
2025-02-17,97.78
2025-02-18,102.62
2025-02-19,98.65
2025-02-20,99.42
2025-02-21,98.88
2025-02-22,99.09
2025-02-23,100.22
2025-02-24,98.35
2025-02-25,101.44
2025-02-26,100.56
2025-02-27,98.56
2025-02-28,102.99
2025-03-01,99.82
2025-03-02,102.78
2025-03-03,98.87
2025-03-04,97.88
2025-03-05,99.77
2025-03-06,101.52
2025-03-07,98.77
2025-03-08,102.96
2025-03-09,100.12
2025-03-10,99.45
2025-03-11,99.5
2025-03-12,98.06
2025-03-13,96.15
2025-03-14,99.24
2025-03-15,98.45
2025-03-16,99.33
2025-03-17,100.87
2025-03-18,100.02
2025-03-19,98.93
2025-03-20,99.52
2025-03-21,103.16
2025-03-22,101.2
2025-03-23,96.44
2025-03-24,100.26
2025-03-25,99.2
2025-03-26,101.57
2025-03-27,95.19
2025-03-28,102.31
2025-03-29,101.94
2025-03-30,97.88
2025-03-31,102.62
2025-04-01,99.63
2025-04-02,100.27
2025-04-03,101.63
2025-04-04,102.58
2025-04-05,100.2
2025-04-06,100.84
2025-04-07,98.9
2025-04-08,101.51
2025-04-09,97.82
2025-04-10,97.59
