Date,Price
2025-01-01,101.51
2025-01-02,102.69
2025-01-03,101.12
2025-01-04,99.27
2025-01-05,99.72
2025-01-06,96.99
2025-01-07,100.9
2025-01-08,100.29
2025-01-09,97.08
2025-01-10,101.55
2025-01-11,105.19
2025-01-12,100.41
2025-01-13,102.58
2025-01-14,101.9
2025-01-15,99.48
2025-01-16,99.26
2025-01-17,102.01
2025-01-18,99.14
2025-01-19,102.5
2025-01-20,101.14
2025-01-21,97.02
2025-01-22,97.08
2025-01-23,102.78
2025-01-24,96.78
2025-01-25,99.69
2025-01-26,99.19
2025-01-27,102.09
2025-01-28,102.55
2025-01-29,100.2
2025-01-30,101.72
2025-01-31,100.77
2025-02-01,101.78
2025-02-02,101.13
2025-02-03,100.75
2025-02-04,100.78
2025-02-05,100.04
2025-02-06,103.26
2025-02-07,100.34
2025-02-08,100.28
2025-02-09,99.91
2025-02-10,99.4
2025-02-11,96.08
2025-02-12,98.42
2025-02-13,98.12
2025-02-14,101.62
2025-02-15,102.84
2025-02-16,97.8
2025-02-17,103.4
2025-02-18,100.16
2025-02-19,103.51
2025-02-20,99.42
2025-02-21,96.8
2025-02-22,101.34
2025-02-23,97.44
2025-02-24,99.89
2025-02-25,98.33
2025-02-26,99.54
2025-02-27,100.98
2025-02-28,94.79
2025-03-01,99.01
2025-03-02,97.43
2025-03-03,100.21
2025-03-04,102.78
2025-03-05,96.55
2025-03-06,103.16
2025-03-07,98.45
2025-03-08,101.54
2025-03-09,98.23
2025-03-10,101.29
2025-03-11,101.63
2025-03-12,100.14
2025-03-13,95.0
2025-03-14,98.94
2025-03-15,99.11
2025-03-16,99.39
2025-03-17,96.94
2025-03-18,97.58
2025-03-19,99.71
2025-03-20,97.88
2025-03-21,99.74
2025-03-22,104.4
2025-03-23,100.28
2025-03-24,98.26
2025-03-25,98.16
2025-03-26,100.56
2025-03-27,100.56
2025-03-28,100.1
2025-03-29,98.43
2025-03-30,97.37
2025-03-31,97.43
2025-04-01,97.33
2025-04-02,97.29
2025-04-03,101.48
2025-04-04,99.28
2025-04-05,99.28
2025-04-06,98.47
2025-04-07,101.17
2025-04-08,98.35
2025-04-09,100.1
2025-04-10,100.75
